Castries,1,1,COVID-19/Health Information,452-4416,,,Castries Health Centre,Community Nursing,GOSL,Health,Family Planning Services,8-4:30 weekdays,1,1,1,1,0,1,1,1,1,1
Castries,1,1,COVID-19/Health Information,452-4417,,,Castries Health Centre,Community Nursing,GOSL,Health,Specialized Sexual and Reproductive Health Services,8-4:30 weekdays,1,1,1,1,0,1,1,1,1,1
Castries,1,1,General Social Service,4683300,,,Family Court,Dept. of Justice,GOSL,GBV,Legal Services,8 4:30 weekdays,1,1,1,1,1,1,1,1,1,3
Castries,1,0,Other,4527200,,,Forensic Labs,Dept. of Justice,GOSL,PSEA,Investigation Committees,8 - 4:30 weekdays,0,1,1,0,0,0,0,0,0,3
Castries,1,0,Other,4317893,7243363,,Legal Aid Authority,"Dept. of Justice ",GOSL,GBV,Legal Services,8 - 4:30 weekdays,0,1,1,0,0,0,0,1,0,3
Castries,1,1,Other,4531521,4536848,,Saint Lucia Crisis Center,Independent NGO,do0r contributions and GOSL subvention,GBV,Counseling/Therapy,8 - 4:30  weekdays,1,1,1,1,1,1,1,1,1,3
Castries,1,1,GBV Specific,4872329,7234227,,Raise your Voice saint Lucia,Independent NGO,do0r contribution,GBV,"Awareness Raising through Mass Media Channels,",8-5 weekdays,1,1,1,1,1,1,1,1,1,2
Castries,1,1,GBV Specific,4872329,7234227,,Raise your Voice saint Lucia,Independent NGO,"do0r contribution  ",PSEA,Victim Support Services,24/7,0,1,1,0,0,0,0,0,0,2
Castries,1,1,COVID-19/Health Information,4524335,,,Saint Lucia Planned Parenthood Association,Intrnational Planned Parenthood Organization,IPPF,Health,Family Planning Services,8-4:30 weekdays,1,1,1,1,0,1,1,1,1,1
Castries,1,1,Other,4525094,,,Upton Garden Girls,Ministry of Equity,GOSL,Child_Protection,Case Management for Child Survivors of GBV,8 - 4:30 weekdays,1,1,1,1,1,1,1,1,1,3
Castries,1,1,General Social Service,4527204,,,Division of Human Services,Ministry of Equity,GOSL,Child_Protection,Case Management for Child Survivors of GBV,8 - 4:30 weekdays,1,1,1,1,1,1,1,1,1,3
Castries,1,1,General Social Service,4527204,,,Division of Human Services,Ministry of Equity,GOSL,Child_Protection,Child Protection Case Management Services and Protective Services,8-4:30 weekdays,1,1,1,1,0,0,0,0,0,3
Castries,1,0,General Social Service,468-5148,,,"Social Justice , Welfare Services Unit",Ministry of Equity,GOSL,Food_Security,Cash/Voucher Support,8-4:30 weekdays,1,1,1,1,1,1,1,1,0,3
Castries,1,1,General Social Service,452-6699,,,Saint Lucia SocialDevelopment Fund,Ministry of Equity,GOSL,Food_Security,Cash/Voucher Support,8 - 4:30 weekdays,1,1,1,1,1,0,0,0,0,3
Castries,1,1,General Social Service,4527204,468-5362,451-7777 (child line),Division of Human Services,Ministry of Equity,GOSL,GBV,"Awareness Raising through Mass Media Channels,",8-4:30 weekdays,1,1,1,1,0,1,1,1,1,3
Castries,1,1,General Social Service,4527204,,,Division of Human Services,Ministry of Equity,GOSL,Mental_Health_and_Psychosocial_Support,Counseling/Therapy,8-4:30 weekdays,0,1,1,0,0,0,1,0,0,3
Castries,1,1,Support for Target Groups,4527204,,,Division of Human Services,Ministry of Equity,GOSL,Shelter,Safe Shelter/Housing for Survivors of GBV,24/7,1,1,1,1,1,1,1,1,1,3
Castries,1,1,Support for Target Groups,,,,St.Lucia Bureau of Health Education,Ministry of Health,GOSL,GBV,,8-4:30pm Weekdays,1,1,1,1,0,1,1,1,1,3
Castries,1,1,COVID-19/Health Information,7274068,,,Owen King Hospital (Sexual and Reproductive Health Clinic),Ministry of Health,GOSL,Health,Specialized Sexual and Reproductive Health Services,8 4:30 weekdays,1,1,1,1,0,1,1,1,1,1
Castries,1,0,General Social Service,4527393,4502619,,Mental Wellness Center,Ministry of Health,GOSL,Mental_Health_and_Psychosocial_Support,,8 - 4:30 weekdays,1,1,1,1,1,1,1,1,1,3
Castries,1,1,General Social Service,4683300,,,"Family Court ",Ministry of Justice,GOSL,Child_Protection,Child Protection Case Management Services and Protective Services,8-4:30 weekdays,1,1,1,0,0,0,0,0,0,3
Castries,1,1,Police/Security,456-4051,,,"Vulnerable Persons Team ",Ministry of Justice,GOSL,GBV,GBV Case Management Services,24/7,1,1,1,1,1,1,1,1,1,3
Castries,1,1,Support for Target Groups,4872329,7234227,,Raise Your Voice saint Lucia,NGO,Do0r Contributiuon,Food_Security,Food Distribution,24/7,1,1,1,1,0,1,0,0,0,2
Gros Islet,1,1,Support for Target Groups,4878532,,,Herstoire Collective,NGO,Caribbean Vulnerable Community Collision,GBV,"Awareness Raising through Mass Media Channels,",8 - 4:30 weekdays,1,1,1,1,1,1,1,1,1,2
Castries,1,1,Support for Target Groups,5197263,,,Girls of a Feather,NGO,do0r contribution,GBV,"Awareness Raising through Mass Media Channels,",8- 4:00 weekdays,1,1,1,1,1,1,1,1,1,2
Castries,1,1,Support for Target Groups,5197263,,,Girls of a Feather,NGO,Do0r Contribution,GBV,Mental Health and Psychosocial Support services for GBV survivors,8-4:30 weekdays,1,1,1,0,0,0,0,0,0,2
Castries,1,1,GBV Specific,4872329,7234227,,Raise Your Voice saint Lucia,NGO,Do0r Contributiuon,GBV,Mental Health and Psychosocial Support services for GBV survivors,24/7,1,1,1,0,0,0,0,0,0,2
